date,habit_name,value,calories_burned,notes
2025-01-06,Morning Walk,8200,410,
2025-01-06,Water Glasses,8,0,
2025-01-06,Meditation,1,0,Did 10 mins
2025-01-07,Morning Walk,9100,455,
2025-01-07,Water Glasses,9,0,
2025-01-07,Meditation,1,0,
2025-01-07,Evening Workout,45,270,
2025-01-08,Morning Walk,4200,210,Short day
2025-01-08,Water Glasses,6,0,
2025-01-09,Morning Walk,8800,440,
2025-01-09,Water Glasses,8,0,
2025-01-09,Meditation,1,0,
2025-01-10,Morning Walk,10200,510,Personal best
2025-01-10,Water Glasses,10,0,
2025-01-10,Meditation,1,0,
2025-01-10,Evening Workout,60,360,
2025-01-11,Morning Walk,7600,380,
2025-01-11,Water Glasses,7,0,
2025-01-12,Morning Walk,3100,155,Rest day
2025-01-12,Water Glasses,5,0,
2025-01-13,Morning Walk,8500,425,
2025-01-13,Water Glasses,8,0,
2025-01-13,Meditation,1,0,
2025-01-14,Morning Walk,9300,465,
2025-01-14,Water Glasses,9,0,
2025-01-14,Meditation,1,0,
2025-01-14,Evening Workout,50,300,
2025-01-15,Morning Walk,8100,405,
2025-01-15,Water Glasses,8,0,
2025-01-16,Morning Walk,7900,395,
2025-01-16,Water Glasses,8,0,
2025-01-16,Meditation,1,0,
2025-01-17,Morning Walk,2800,140,Lazy Friday
2025-01-17,Water Glasses,5,0,
2025-01-18,Morning Walk,8600,430,
2025-01-18,Water Glasses,8,0,
2025-01-18,Meditation,1,0,
2025-01-19,Morning Walk,10500,525,
2025-01-19,Water Glasses,10,0,
2025-01-19,Meditation,1,0,
2025-01-19,Evening Workout,55,330,
2025-01-20,Morning Walk,8200,410,
2025-01-20,Water Glasses,8,0,
2025-01-21,Morning Walk,8000,400,
2025-01-21,Water Glasses,8,0,
2025-01-21,Meditation,1,0,
2025-01-22,Morning Walk,8700,435,
2025-01-22,Water Glasses,9,0,
2025-01-22,Meditation,1,0,
2025-01-22,Evening Workout,45,270,
2025-01-23,Morning Walk,3500,175,
2025-01-23,Water Glasses,5,0,
2025-01-24,Morning Walk,8400,420,
2025-01-24,Water Glasses,8,0,
2025-01-24,Meditation,1,0,
2025-01-25,Morning Walk,9200,460,
2025-01-25,Water Glasses,9,0,
2025-01-25,Evening Workout,60,360,
2025-01-26,Morning Walk,8100,405,
2025-01-26,Water Glasses,8,0,
2025-01-26,Meditation,1,0,
2025-01-27,Morning Walk,7800,390,
2025-01-27,Water Glasses,8,0,
2025-01-28,Morning Walk,8500,425,
2025-01-28,Water Glasses,8,0,
2025-01-28,Meditation,1,0,
2025-01-29,Morning Walk,4100,205,
2025-01-29,Water Glasses,6,0,
2025-01-30,Morning Walk,8900,445,
2025-01-30,Water Glasses,9,0,
2025-01-30,Meditation,1,0,
2025-01-30,Evening Workout,50,300,
2025-01-31,Morning Walk,9400,470,
2025-01-31,Water Glasses,9,0,
2025-01-31,Meditation,1,0,
2025-02-01,Morning Walk,8300,415,
2025-02-01,Water Glasses,8,0,
2025-02-01,Meditation,1,0,
2025-02-02,Morning Walk,8100,405,
2025-02-02,Water Glasses,8,0,
2025-02-02,Evening Workout,45,270,
2025-02-03,Morning Walk,3200,160,
2025-02-03,Water Glasses,5,0,
2025-02-04,Morning Walk,8600,430,
2025-02-04,Water Glasses,8,0,
2025-02-04,Meditation,1,0,
2025-02-05,Morning Walk,9000,450,
2025-02-05,Water Glasses,9,0,
2025-02-05,Meditation,1,0,
2025-02-05,Evening Workout,55,330,
2025-02-06,Morning Walk,8200,410,
2025-02-06,Water Glasses,8,0,
2025-02-07,Morning Walk,7900,395,
2025-02-07,Water Glasses,8,0,
2025-02-07,Meditation,1,0,
2025-02-08,Morning Walk,8400,420,
2025-02-08,Water Glasses,8,0,
2025-02-09,Morning Walk,8700,435,
2025-02-09,Water Glasses,9,0,
2025-02-09,Meditation,1,0,
2025-02-09,Evening Workout,50,300,
2025-02-10,Morning Walk,2900,145,
2025-02-10,Water Glasses,4,0,
2025-02-11,Morning Walk,8500,425,
2025-02-11,Water Glasses,8,0,
2025-02-11,Meditation,1,0,
2025-02-12,Morning Walk,9600,480,
2025-02-12,Water Glasses,10,0,
2025-02-12,Meditation,1,0,
2025-02-12,Evening Workout,60,360,
2025-02-13,Morning Walk,8100,405,
2025-02-13,Water Glasses,8,0,
2025-02-14,Morning Walk,8000,400,
2025-02-14,Water Glasses,8,0,
2025-02-14,Meditation,1,0,
2025-02-15,Morning Walk,8300,415,
2025-02-15,Water Glasses,8,0,
2025-02-16,Morning Walk,8600,430,
2025-02-16,Water Glasses,9,0,
2025-02-16,Meditation,1,0,
2025-02-16,Evening Workout,45,270,
2025-02-17,Morning Walk,3800,190,
2025-02-17,Water Glasses,5,0,
2025-02-18,Morning Walk,8200,410,
2025-02-18,Water Glasses,8,0,
2025-02-18,Meditation,1,0,
2025-02-19,Morning Walk,9100,455,
2025-02-19,Water Glasses,9,0,
2025-02-19,Evening Workout,55,330,
2025-02-20,Morning Walk,8400,420,
2025-02-20,Water Glasses,8,0,
2025-02-20,Meditation,1,0,
2025-02-21,Morning Walk,8700,435,
2025-02-21,Water Glasses,9,0,
2025-02-21,Meditation,1,0,
2025-02-22,Morning Walk,8100,405,
2025-02-22,Water Glasses,8,0,
2025-02-23,Morning Walk,8500,425,
2025-02-23,Water Glasses,8,0,
2025-02-23,Meditation,1,0,
2025-02-24,Morning Walk,3400,170,
2025-02-24,Water Glasses,5,0,
2025-02-25,Morning Walk,8800,440,
2025-02-25,Water Glasses,9,0,
2025-02-25,Meditation,1,0,
2025-02-25,Evening Workout,50,300,
2025-02-26,Morning Walk,9200,460,
2025-02-26,Water Glasses,9,0,
2025-02-27,Morning Walk,8300,415,
2025-02-27,Water Glasses,8,0,
2025-02-27,Meditation,1,0,
2025-02-28,Morning Walk,8600,430,
2025-02-28,Water Glasses,8,0,
